x,y,z,estimate,variance
210.00,-200.00,1860.00,2.62531,1.36986
230.00,-200.00,1860.00,2.18911,1.37861
250.00,-200.00,1860.00,3.23225,1.42524
270.00,-200.00,1860.00,2.20850,1.77190
290.00,-200.00,1860.00,1.99979,1.87002
90.00,-180.00,1860.00,2.13896,1.39679
110.00,-180.00,1860.00,1.96779,1.37812
130.00,-180.00,1860.00,1.98420,1.36171
150.00,-180.00,1860.00,2.40584,1.35371
170.00,-180.00,1860.00,2.32085,1.34640
190.00,-180.00,1860.00,2.40584,1.35371
210.00,-180.00,1860.00,2.40584,1.35371
230.00,-180.00,1860.00,2.11025,1.36967
250.00,-180.00,1860.00,2.04494,1.38750
270.00,-180.00,1860.00,2.44924,1.40994
290.00,-180.00,1860.00,1.99979,1.87002
70.00,-160.00,1860.00,1.58761,1.31807
90.00,-160.00,1860.00,1.41013,1.28411
110.00,-160.00,1860.00,1.84208,1.36978
130.00,-160.00,1860.00,1.90662,1.35404
150.00,-160.00,1860.00,1.88907,1.34641
170.00,-160.00,1860.00,2.29439,1.33911
190.00,-160.00,1860.00,2.29439,1.33911
210.00,-160.00,1860.00,1.90662,1.35404
230.00,-160.00,1860.00,1.98420,1.36171
250.00,-160.00,1860.00,1.96779,1.37812
270.00,-160.00,1860.00,2.04885,1.40725
290.00,-160.00,1860.00,3.33375,1.46634
10.00,-140.00,1860.00,0.53355,1.87002
30.00,-140.00,1860.00,0.53355,1.87002
50.00,-140.00,1860.00,2.54984,1.46525
70.00,-140.00,1860.00,1.32314,1.42010
90.00,-140.00,1860.00,1.40925,1.27412
110.00,-140.00,1860.00,1.34964,1.26995
130.00,-140.00,1860.00,1.75135,1.35376
150.00,-140.00,1860.00,1.85489,1.33875
170.00,-140.00,1860.00,1.85489,1.33875
190.00,-140.00,1860.00,1.85489,1.33875
210.00,-140.00,1860.00,1.88907,1.34641
230.00,-140.00,1860.00,1.76599,1.36174
250.00,-140.00,1860.00,1.92658,1.37818
270.00,-140.00,1860.00,1.96760,1.39686
290.00,-140.00,1860.00,2.32558,1.46643
10.00,-120.00,1860.00,0.53355,1.87002
30.00,-120.00,1860.00,0.49374,1.81235
50.00,-120.00,1860.00,2.45412,1.44823
70.00,-120.00,1860.00,1.21564,1.39580
90.00,-120.00,1860.00,1.29738,1.28088
110.00,-120.00,1860.00,1.27194,1.27006
130.00,-120.00,1860.00,1.79558,1.35304
150.00,-120.00,1860.00,1.34134,1.26092
170.00,-120.00,1860.00,1.29193,1.25692
190.00,-120.00,1860.00,1.71972,1.34575
210.00,-120.00,1860.00,1.82978,1.36141
230.00,-120.00,1860.00,1.82978,1.36141
250.00,-120.00,1860.00,1.83543,1.38762
270.00,-120.00,1860.00,1.89009,1.43668
290.00,-120.00,1860.00,2.71603,1.87003
-10.00,-100.00,1860.00,0.53355,1.87002
10.00,-100.00,1860.00,0.53355,1.87002
30.00,-100.00,1860.00,0.49374,1.81235
50.00,-100.00,1860.00,1.56679,1.42010
70.00,-100.00,1860.00,1.21564,1.39580
90.00,-100.00,1860.00,1.07395,1.38990
110.00,-100.00,1860.00,1.02383,1.20955
130.00,-100.00,1860.00,0.97662,1.20675
150.00,-100.00,1860.00,1.21820,1.25004
170.00,-100.00,1860.00,1.21820,1.25004
190.00,-100.00,1860.00,1.25723,1.25525
210.00,-100.00,1860.00,1.25723,1.25525
230.00,-100.00,1860.00,1.71527,1.38142
250.00,-100.00,1860.00,1.66154,1.41480
270.00,-100.00,1860.00,1.90160,1.77190
290.00,-100.00,1860.00,2.71603,1.87003
10.00,-80.00,1860.00,0.53355,1.87002
30.00,-80.00,1860.00,0.49374,1.81235
50.00,-80.00,1860.00,2.45412,1.44823
70.00,-80.00,1860.00,0.88643,1.28357
90.00,-80.00,1860.00,0.79494,1.26924
110.00,-80.00,1860.00,0.76912,1.25922
130.00,-80.00,1860.00,0.82447,1.35237
150.00,-80.00,1860.00,1.09681,1.26082
170.00,-80.00,1860.00,1.09681,1.26082
190.00,-80.00,1860.00,1.09681,1.26082
210.00,-80.00,1860.00,1.13896,1.26995
230.00,-80.00,1860.00,0.91646,1.38069
250.00,-80.00,1860.00,0.97461,1.42455
270.00,-80.00,1860.00,1.90160,1.77190
290.00,-80.00,1860.00,2.71603,1.87003
10.00,-60.00,1860.00,0.53355,1.87002
30.00,-60.00,1860.00,0.53355,1.87002
50.00,-60.00,1860.00,2.45412,1.44823
70.00,-60.00,1860.00,0.94841,1.28330
90.00,-60.00,1860.00,0.77950,1.26314
110.00,-60.00,1860.00,0.61933,1.26520
130.00,-60.00,1860.00,0.84651,1.35301
150.00,-60.00,1860.00,0.80086,1.33809
170.00,-60.00,1860.00,0.83524,1.34509
190.00,-60.00,1860.00,0.83524,1.34509
210.00,-60.00,1860.00,0.83573,1.36064
230.00,-60.00,1860.00,0.86373,1.37788
250.00,-60.00,1860.00,0.97374,1.39923
270.00,-60.00,1860.00,1.90160,1.77190
290.00,-60.00,1860.00,2.71603,1.87003
30.00,-40.00,1860.00,0.53355,1.87002
50.00,-40.00,1860.00,0.61910,1.31752
70.00,-40.00,1860.00,1.13945,1.22076
90.00,-40.00,1860.00,0.84705,1.21501
110.00,-40.00,1860.00,0.85826,1.36091
130.00,-40.00,1860.00,0.80484,1.35326
150.00,-40.00,1860.00,0.81112,1.34569
170.00,-40.00,1860.00,0.81112,1.34569
190.00,-40.00,1860.00,0.81112,1.34569
210.00,-40.00,1860.00,0.84088,1.36091
230.00,-40.00,1860.00,0.88613,1.37723
250.00,-40.00,1860.00,1.03230,1.39580
270.00,-40.00,1860.00,1.16136,1.44823
