x,y,z,clay,chalcosite,bornite,chalcopyrite
-25.818688,-356.702018,2475.899913,1.605517,0.000464,0.000476,0.238798
-26.869881,-356.692076,2471.011673,2.413095,0.000517,0.000578,0.298541
-27.921074,-356.682134,2466.123433,3.130225,0.000477,0.000495,0.285371
-28.972267,-356.672191,2461.235192,3.774188,0.002116,0.005497,3.396604
-30.023460,-356.662249,2456.346952,6.446629,0.002060,0.010557,3.911276
-31.074654,-356.652307,2451.458711,6.988965,0.000488,0.001054,0.340144
-32.125847,-356.642365,2446.570471,2.173673,0.000457,0.000476,0.341408
-33.177040,-356.632422,2441.682231,1.960066,0.000445,0.000461,0.257377
-34.228233,-356.622480,2436.793990,2.446338,0.000542,0.000541,0.323433
-35.279426,-356.612538,2431.905750,4.278755,0.000536,0.000588,0.260762
-36.330619,-356.602595,2427.017509,3.556764,0.000516,0.002087,0.218931
-37.381812,-356.592653,2422.129269,2.296357,0.000484,0.000999,0.279928
-38.433005,-356.582711,2417.241029,1.346654,0.000463,0.028483,0.408463
-39.484199,-356.572768,2412.352788,1.413336,0.000517,0.014975,0.304209
-40.535392,-356.562826,2407.464548,1.060315,0.001039,0.000563,0.198910
-41.586585,-356.552884,2402.576307,1.060315,0.001039,0.000563,0.198910
-42.637778,-356.542941,2397.688067,2.307744,0.000516,0.002142,0.240662
-43.688971,-356.532999,2392.799827,2.400585,0.000521,0.016549,0.265906
-44.740164,-356.523057,2387.911586,2.240489,0.000499,0.001940,0.242310
-45.791357,-356.513115,2383.023346,1.709915,0.000504,0.000560,0.223494
-46.842551,-356.503172,2378.135105,2.171755,0.000485,0.000583,0.203079
-47.893744,-356.493230,2373.246865,1.493042,0.000477,0.045497,0.229933
53.089221,-346.636290,2560.151218,0.151584,0.001999,0.668545,2.356659
51.869514,-346.676620,2555.302436,0.005232,0.019331,0.518405,1.096741
50.649807,-346.716951,2550.453653,0.199793,0.036471,0.917050,1.440700
49.430101,-346.757281,2545.604871,0.536033,0.001969,1.025249,1.719258
48.210394,-346.797611,2540.756089,0.844413,0.002031,1.451549,1.901253
46.990687,-346.837942,2535.907307,1.197382,0.002077,1.608787,2.466980
45.770980,-346.878272,2531.058525,1.616865,0.003777,1.580791,1.799723
44.551273,-346.918602,2526.209742,4.536481,0.010809,2.098883,1.201063
43.331567,-346.958933,2521.360960,4.678160,0.017397,2.036124,0.838229
42.111860,-346.999263,2516.512178,4.727759,0.004154,1.176463,0.473147
40.892153,-347.039594,2511.663396,9.337031,0.002389,1.697993,0.549437
39.672446,-347.079924,2506.814614,14.692981,0.002121,1.772885,0.494033
38.452739,-347.120254,2501.965832,17.658884,0.003830,1.354878,0.372973
37.233032,-347.160585,2497.117049,10.578105,0.011095,0.592243,0.154895
36.013326,-347.200915,2492.268267,9.591175,0.003786,0.120640,0.387391
34.793619,-347.241245,2487.419485,15.820821,0.003700,0.005125,0.213687
33.573912,-347.281576,2482.570703,15.820821,0.003700,0.005125,0.213687
32.354205,-347.321906,2477.721921,11.653429,0.002157,0.006516,0.660074
31.134498,-347.362237,2472.873138,20.654558,0.001888,0.005155,0.641967
29.914792,-347.402567,2468.024356,19.372704,0.001956,0.006022,0.649824
28.695085,-347.442897,2463.175574,16.211397,0.002006,0.159562,0.711494
27.475378,-347.483228,2458.326792,13.924615,0.002287,0.085120,0.816351
26.255671,-347.523558,2453.478010,10.777626,0.002075,0.005889,1.170522
25.035964,-347.563888,2448.629227,7.993003,0.002105,0.005269,1.092820
23.816258,-347.604219,2443.780445,10.137936,0.002129,0.010089,1.413808
22.596551,-347.644549,2438.931663,3.117603,0.002052,0.005093,1.952781
21.376844,-347.684880,2434.082881,2.688673,0.001922,0.004763,2.292273
20.157137,-347.725210,2429.234099,4.483312,0.001947,0.004987,2.040474
18.937430,-347.765540,2424.385316,3.427480,0.001932,0.004509,1.437109
17.717723,-347.805871,2419.536534,3.148863,0.011323,0.005524,1.315203
16.498017,-347.846201,2414.687752,2.921627,0.007607,0.005022,0.902768
15.278310,-347.886531,2409.838970,1.230468,0.011315,0.005039,0.995858
14.058603,-347.926862,2404.990188,0.641816,0.003949,0.005668,0.624109
12.838896,-347.967192,2400.141405,0.552370,0.015487,0.005986,0.329977
11.619189,-348.007523,2395.292623,1.044418,0.015694,0.078554,0.948207
10.399483,-348.047853,2390.443841,0.474687,0.060655,0.009877,0.647002
9.179776,-348.088183,2385.595059,1.298779,0.008770,0.191334,0.758114
7.960069,-348.128514,2380.746277,1.266196,0.002304,0.756155,2.284644
6.740362,-348.168844,2375.897495,0.412398,0.007593,0.117584,1.728764
5.520655,-348.209175,2371.048712,0.392208,0.014892,0.315136,1.839231
4.300948,-348.249505,2366.199930,0.626196,0.018938,0.019699,2.660790
3.081242,-348.289835,2361.351148,0.923591,0.002026,0.019179,3.484383
1.861535,-348.330166,2356.502366,0.966518,0.002193,0.005674,5.514173
0.641828,-348.370496,2351.653584,1.456488,0.001999,0.005189,5.089475
-0.577879,-348.410826,2346.804801,1.132052,0.001990,0.005132,6.189046
-1.797586,-348.451157,2341.956019,3.235505,0.001955,0.006254,6.541050
-3.017292,-348.491487,2337.107237,6.399471,0.001916,0.010307,6.706681
-4.236999,-348.531818,2332.258455,13.701086,0.001944,0.005283,4.481831
-5.456706,-348.572148,2327.409673,9.897790,0.001953,0.359523,4.234197
-6.676413,-348.612478,2322.560890,9.897790,0.001953,0.359523,4.234197
-7.896120,-348.652809,2317.712108,8.828435,0.001898,0.599812,5.255735
-9.115826,-348.693139,2312.863326,4.035244,0.001694,0.708230,4.944740
-10.335533,-348.733469,2308.014544,1.922857,0.002001,0.303198,5.029563
-11.555240,-348.773800,2303.165762,3.442448,0.002108,0.006499,3.262551
-12.774947,-348.814130,2298.316979,3.032873,0.002005,0.005391,3.203385
-13.994654,-348.854461,2293.468197,2.721551,0.002080,0.005797,3.127185
-15.214361,-348.894791,2288.619415,5.477332,0.002000,0.085586,3.076124
-16.434067,-348.935121,2283.770633,8.010370,0.001867,0.009425,2.633835
-17.653774,-348.975452,2278.921851,7.221709,0.002033,0.128523,3.125214
-18.873481,-349.015782,2274.073068,6.355653,0.002146,0.609678,3.000898
-20.093188,-349.056112,2269.224286,10.734027,0.004232,0.607118,2.017891
-21.312895,-349.096443,2264.375504,9.506734,0.017102,0.591672,1.189650
-22.532601,-349.136773,2259.526722,6.885252,0.110781,0.783094,0.984960
-23.752308,-349.177104,2254.677940,11.435042,0.108052,0.665038,0.646859
-24.972015,-349.217434,2249.829158,13.872091,0.101557,0.243674,0.310163
-26.191722,-349.257764,2244.980375,8.160579,0.033053,0.670307,0.486962
-27.411429,-349.298095,2240.131593,6.338890,0.032725,0.549188,0.299053
-28.631135,-349.338425,2235.282811,7.393528,0.036781,0.033707,0.520936
-29.850842,-349.378755,2230.434029,6.397335,0.035662,0.010415,0.580795
-31.070549,-349.419086,2225.585247,4.308957,0.057256,0.006410,0.562599
-107.443702,-296.807367,2562.098655,1.442144,0.000509,0.000582,0.216398
-108.431165,-296.849013,2557.197310,1.599155,0.000522,0.000716,0.248778
-109.418628,-296.890659,2552.295965,1.791088,0.000444,0.000460,0.216436
-110.406091,-296.932305,2547.394620,0.993303,0.000474,0.000496,0.250431
-111.393554,-296.973951,2542.493275,0.627090,0.000518,0.006068,0.271159
-112.381017,-297.015597,2537.591930,0.627090,0.000518,0.006068,0.271159
-113.368480,-297.057243,2532.690585,0.956906,0.000513,0.060115,0.251430
-114.355943,-297.098889,2527.789240,3.092770,0.000464,0.001057,0.231858
-115.343406,-297.140535,2522.887895,3.416845,0.000471,0.042943,0.332561
-116.330869,-297.182181,2517.986550,5.094890,0.000481,0.020808,0.208963
-117.318332,-297.223827,2513.085205,4.630297,0.001936,0.614978,2.083634
-118.305795,-297.265473,2508.183860,6.642406,0.001932,0.033899,2.960632
-119.293257,-297.307119,2503.282515,12.387880,0.001880,0.009912,2.547891
-120.280720,-297.348765,2498.381170,8.915886,0.001829,0.028685,2.196913
-121.268183,-297.390411,2493.479826,7.387755,0.002086,0.005785,2.511196
-122.255646,-297.432057,2488.578481,8.247453,0.001925,0.005142,1.923544
-123.243109,-297.473704,2483.677136,9.790161,0.002095,0.005740,2.540680
-124.230572,-297.515350,2478.775791,7.535066,0.001971,0.004921,1.218541
-125.218035,-297.556996,2473.874446,2.600995,0.002312,0.010629,1.121144
-126.205498,-297.598642,2468.973101,2.120756,0.022849,0.004970,0.364539
-127.192961,-297.640288,2464.071756,1.753818,0.011656,0.005231,0.530755
-128.180424,-297.681934,2459.170411,1.289589,0.088554,0.010835,0.226493
-129.167887,-297.723580,2454.269066,1.220388,0.125505,0.005505,0.135667
-130.155350,-297.765226,2449.367721,1.424397,0.012014,0.005737,0.140631
-131.142813,-297.806872,2444.466376,3.986417,0.169317,0.005676,0.008760
-132.130276,-297.848518,2439.565031,4.155132,0.088711,0.005300,0.029221
-133.117739,-297.890164,2434.663686,2.061889,0.267526,0.005441,0.017321
-134.105202,-297.931810,2429.762341,0.876506,0.490760,0.005527,0.020142
-135.092665,-297.973456,2424.860996,1.739711,0.206630,0.005408,0.129736
-136.080128,-298.015102,2419.959651,2.090932,0.369438,0.006054,0.089230
-137.067591,-298.056748,2415.058306,1.258332,0.229265,0.005119,0.165132
-138.055054,-298.098394,2410.156961,0.359102,0.240791,0.005518,0.673003
-139.042517,-298.140040,2405.255616,0.393640,0.240194,0.005502,0.728772
-140.029980,-298.181686,2400.354271,1.153134,0.088890,0.006377,0.981065
-141.017443,-298.223332,2395.452926,1.276378,0.114688,0.004745,0.714929
-142.004906,-298.264978,2390.551581,1.178594,0.033469,0.004621,0.689290
-142.992369,-298.306624,2385.650236,0.676286,0.024376,0.004956,0.712083
-143.979832,-298.348270,2380.748891,1.345158,0.019323,0.004958,0.849294
-144.967295,-298.389916,2375.847546,1.014392,0.026322,0.004806,0.354943
-145.954758,-298.431562,2370.946201,0.601247,0.260296,0.005201,0.206342
-146.942221,-298.473208,2366.044856,1.785429,0.122738,0.004991,0.142927
-147.929684,-298.514854,2361.143511,3.791619,0.004251,0.005774,0.304065
-148.917147,-298.556500,2356.242166,1.421237,0.018900,0.005382,0.284250
-149.904610,-298.598146,2351.340821,1.280149,0.056075,0.005540,0.310878
-150.892073,-298.639792,2346.439477,0.501391,0.241379,0.040403,0.235149
-151.879536,-298.681438,2341.538132,0.871020,0.336720,0.381980,0.210291
-152.866999,-298.723085,2336.636787,0.562934,0.382857,0.133713,0.254110
-49.520786,-298.690369,2556.096509,2.986902,0.002964,0.001913,0.298220
-50.495686,-298.617228,2551.193019,3.415970,0.003430,0.002048,0.448569
-51.470587,-298.544087,2546.289528,3.131167,0.003598,0.002101,0.344414
-52.445487,-298.470946,2541.386038,2.574340,0.003299,0.001928,0.278658
-53.420387,-298.397805,2536.482547,0.091022,0.003630,0.002083,0.414269
-54.395288,-298.324665,2531.579057,0.004468,0.003072,0.001776,0.477769
-55.370188,-298.251524,2526.675566,0.974145,0.003827,0.002265,0.401197
-56.345088,-298.178383,2521.772075,0.027965,0.003446,0.002001,0.410234
-57.319988,-298.105242,2516.868585,0.849873,0.003606,0.002112,0.275499
-58.294889,-298.032101,2511.965094,1.637352,0.003420,0.002042,0.443851
-59.269789,-297.958961,2507.061604,0.729696,0.003351,0.001899,0.243419
-60.244689,-297.885820,2502.158113,1.437312,0.003708,0.002117,0.344029
-61.219590,-297.812679,2497.254623,2.694278,0.003367,0.001940,0.433831
-62.194490,-297.739538,2492.351132,3.366001,0.003559,0.002092,0.432348
-63.169390,-297.666397,2487.447641,3.538969,0.003489,0.004301,0.713743
-64.144291,-297.593257,2482.544151,3.538969,0.003489,0.004301,0.713743
-65.119191,-297.520116,2477.640660,3.191470,0.003388,0.002126,0.331319
-66.094091,-297.446975,2472.737170,2.238533,0.003361,0.002354,0.273836
-67.068991,-297.373834,2467.833679,3.847421,0.003836,0.002188,0.195568
-68.043892,-297.300694,2462.930188,10.006132,0.003479,0.001996,0.093988
-69.018792,-297.227553,2458.026698,10.670156,0.003822,0.004198,0.068953
-69.993692,-297.154412,2453.123207,9.927915,0.014767,0.002426,0.047811
-70.968593,-297.081271,2448.219717,18.705725,0.008517,0.002626,0.100236
-71.943493,-297.008130,2443.316226,22.454264,0.003495,0.002474,0.105787
-72.918393,-296.934990,2438.412736,26.334453,0.003732,0.002352,0.072728
-73.893294,-296.861849,2433.509245,20.531216,0.005820,0.044094,0.066968
-74.868194,-296.788708,2428.605754,24.273876,0.003461,0.003631,0.058728
-75.843094,-296.715567,2423.702264,6.518108,0.025362,0.003867,0.053446
-76.817994,-296.642426,2418.798773,3.798368,0.026459,0.001968,0.071097
-77.792895,-296.569286,2413.895283,9.998931,0.013294,0.002011,0.181217
-78.767795,-296.496145,2408.991792,16.919029,0.003615,0.004542,0.293988
-79.742695,-296.423004,2404.088302,16.049923,0.002423,0.010065,0.597448
-80.717596,-296.349863,2399.184811,20.227721,0.002510,0.005972,0.579178
-81.692496,-296.276722,2394.281320,22.596337,0.001996,0.005153,0.483043
-82.667396,-296.203582,2389.377830,15.882700,0.001973,0.009699,0.230108
-83.642296,-296.130441,2384.474339,17.430007,0.003990,0.005620,0.216329
-84.617197,-296.057300,2379.570849,20.256711,0.002116,0.010286,0.494877
-85.592097,-295.984159,2374.667358,9.224279,0.002171,0.005349,0.684749
-86.566997,-295.911018,2369.763868,5.577570,0.020420,0.005127,0.425108
-87.541898,-295.837878,2364.860377,5.166282,0.013817,0.005384,0.512703
-88.516798,-295.764737,2359.956886,4.904099,0.007897,0.011028,0.599567
-89.491698,-295.691596,2355.053396,3.318628,0.025538,0.029018,0.538185
-90.466599,-295.618455,2350.149905,6.280051,0.004604,0.349692,0.462829
-91.441499,-295.545314,2345.246415,4.358343,0.053451,0.877505,0.286053
-92.416399,-295.472174,2340.342924,6.429457,0.041160,1.183238,0.564551
-93.391299,-295.399033,2335.439433,2.488762,0.279588,0.917923,0.653096
-94.366200,-295.325892,2330.535943,3.458757,0.161215,0.051742,0.478929
-95.341100,-295.252751,2325.632452,3.035265,0.029349,0.519562,0.689101
-96.316000,-295.179610,2320.728962,2.319856,0.153454,0.116327,0.489431
-97.290901,-295.106470,2315.825471,2.534086,0.023002,0.020533,0.890433
-98.265801,-295.033329,2310.921981,6.815177,0.011554,0.097097,0.652723
-99.240701,-294.960188,2306.018490,1.829091,0.031519,0.333447,0.823264
-100.215602,-294.887047,2301.114999,3.949403,0.191750,0.317986,0.370881
-101.190502,-294.813906,2296.211509,2.750115,0.167013,0.608550,0.546646
-102.165402,-294.740766,2291.308018,2.775410,0.041489,0.019640,0.623427
-103.140302,-294.667625,2286.404528,3.704135,0.212505,0.234742,0.450565
-104.115203,-294.594484,2281.501037,3.615528,0.237985,0.011063,0.269275
-105.090103,-294.521343,2276.597547,1.726909,0.487405,0.005494,0.569471
-106.065003,-294.448202,2271.694056,0.784381,0.534811,0.005066,0.444056
-107.039904,-294.375062,2266.790565,2.985364,0.400173,0.005310,0.280668
-108.014804,-294.301921,2261.887075,4.800610,0.151905,0.011173,0.330027
-108.989704,-294.228780,2256.983584,3.130347,0.011190,0.010554,0.826101
-109.964605,-294.155639,2252.080094,2.725651,0.094615,0.079937,0.622860
-110.939505,-294.082498,2247.176603,1.278739,0.056553,0.070958,0.891346
-111.914405,-294.009358,2242.273113,1.670615,0.026135,0.020209,0.974876
-112.889305,-293.936217,2237.369622,1.333391,0.088509,0.010123,0.401348
-6.957502,-306.131234,2556.128295,1.845204,0.000519,0.000497,0.112378
-8.082657,-306.108514,2551.256590,2.384464,0.000517,0.000516,0.192631
-9.207812,-306.085794,2546.384885,1.980062,0.000508,0.000520,0.194467
-10.332967,-306.063075,2541.513180,0.542267,0.000526,0.000494,0.115326
-11.458122,-306.040355,2536.641475,0.090162,0.000506,0.000476,0.079744
-12.583277,-306.017635,2531.769770,0.428404,0.000537,0.000512,0.068410
-13.708432,-305.994915,2526.898065,1.386569,0.000517,0.000498,0.069307
-14.833587,-305.972196,2522.026360,2.749921,0.000469,0.000458,0.071139
-15.958742,-305.949476,2517.154655,0.674373,0.003661,0.002063,0.343027
-17.083897,-305.926756,2512.282949,0.647774,0.003664,0.001946,0.283459
-18.209052,-305.904037,2507.411244,1.214709,0.003352,0.001881,0.360174
-19.334207,-305.881317,2502.539539,1.214709,0.003352,0.001881,0.360174
-20.459362,-305.858597,2497.667834,1.867129,0.006515,0.003961,0.285949
-21.584516,-305.835878,2492.796129,2.598254,0.003195,0.001830,0.377719
-22.709671,-305.813158,2487.924424,3.533367,0.000524,0.000519,0.151500
-23.834826,-305.790438,2483.052719,2.370063,0.000518,0.000538,0.071353
